,movieId,title,genres,imdbId,tmdbId,year,movieIndex
23923,111781,Mission: Impossible - Rogue Nation (2015),Action|Adventure|Thriller,2381249,177677.0,2015,0
24394,113345,Jupiter Ascending (2015),Action|Adventure|Sci-Fi,1617661,76757.0,2015,1
25028,115713,Ex Machina (2015),Drama|Sci-Fi|Thriller,470752,264660.0,2015,2
25657,117466,In the Heart of the Sea (2015),Action|Adventure|Drama,1390411,205775.0,2015,3
25688,117529,Jurassic World (2015),Action|Adventure|Drama|Sci-Fi|Thriller,369610,135397.0,2015,4
25830,117895,Maze Runner: Scorch Trials (2015),Action|Thriller,4046784,294254.0,2015,5
25840,117916,The Ghost and the Whale (2015),Drama|Mystery|Thriller,2429278,307087.0,2015,6
26055,118706,Black Sea (2015),Adventure|Mystery|Thriller,2261331,246080.0,2015,7
26219,119145,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime,2802144,207703.0,2015,8
26547,120466,Chappie (2015),Action|Thriller,1823672,198184.0,2015,9
26606,120635,Taken 3 (2015),Action|Crime|Thriller,2446042,260346.0,2015,10
26607,120637,Blackhat (2015),Action|Crime|Drama|Mystery|Thriller,2717822,201088.0,2015,11
26622,120757,Beck - Rum 302 (2015),Crime|Mystery|Thriller,4186386,315360.0,2015,12
26643,120799,Terminator Genisys (2015),Action|Adventure|Sci-Fi|Thriller,1340138,87101.0,2015,13
26656,120825,The Woman in Black 2: Angel of Death (2015),Drama|Horror|Thriller,2339741,288158.0,2015,14
27212,122147,Beck - Familjen (2015),Crime|Mystery|Thriller,4186390,315362.0,2015,15
27545,122882,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller,1392190,76341.0,2015,16
27546,122884,Insidious: Chapter 3 (2015),Fantasy|Horror|Thriller,3195644,280092.0,2015,17
27547,122886,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX,2488496,140607.0,2015,18
27548,122888,Ben-hur (2016),(no genres listed),2638144,271969.0,2016,19
27549,122890,Warcraft (2016),Action|Adventure|Fantasy,803096,68735.0,2016,20
27550,122892,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi,2395427,99861.0,2015,21
27551,122894,Avatar 2 (2016),Action|Adventure|Fantasy,1630029,76600.0,2016,22
27552,122896,Pirates of the Caribbean: Dead Men Tell No Tales (2017),(no genres listed),1790809,166426.0,2017,23
27553,122898,Justice League (2017),Action|Adventure|Sci-Fi,974015,141052.0,2017,24
27554,122900,Ant-Man (2015),Action|Adventure|Sci-Fi,478970,102899.0,2015,25
27555,122902,Fantastic Four (2015),Action|Adventure|Fantasy|Sci-Fi,1502712,166424.0,2015,26
27556,122904,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi,1431045,293660.0,2016,27
27557,122906,Black Panther (2017),Action|Adventure|Sci-Fi,1825683,284054.0,2017,28
27558,122910,Captain Marvel (2018),Action|Adventure|Sci-Fi,4154664,299537.0,2018,29
27559,122912,Avengers: Infinity War - Part I (2018),Action|Adventure|Sci-Fi,4154756,299536.0,2018,30
27560,122916,Thor: Ragnarok (2017),Action|Adventure|Sci-Fi,3501632,284053.0,2017,31
27561,122918,Guardians of the Galaxy 2 (2017),Action|Adventure|Sci-Fi,3896198,283995.0,2017,32
27562,122920,Captain America: Civil War (2016),Action|Sci-Fi|Thriller,3498820,271110.0,2016,33
27563,122922,Doctor Strange (2016),Action|Adventure|Sci-Fi,1211837,284052.0,2016,34
27564,122924,X-Men: Apocalypse (2016),Action|Adventure|Fantasy|Sci-Fi,3385516,246655.0,2016,35
27565,122926,Untitled Spider-Man Reboot (2017),Action|Adventure|Fantasy,2250912,202249.0,2017,36
28423,124867,Justice League: Throne of Atlantis (2015),Action|Animation,3878542,297556.0,2015,37
28740,125543,Against The Sun (2015),Adventure,2557276,302828.0,2015,38
28840,125914,Mortdecai (2015),Adventure|Comedy|Mystery|Romance,3045616,210860.0,2015,39
28841,125916,Fifty Shades of Grey (2015),Drama|Romance,2322441,216015.0,2015,40
29034,126420,American Heist (2015),Action,2923316,250066.0,2015,41
29044,126482,Strange Magic (2015),Animation|Children|Fantasy|Musical,4191054,302429.0,2015,42
29048,126548,The DUFF (2015),Comedy,1666801,272693.0,2015,43
29211,127096,Project Almanac (2015),Sci-Fi|Thriller,2436386,227719.0,2015,44
29212,127098,Louis C.K.: Live at The Comedy Store (2015),Comedy,4368814,321594.0,2015,45
29215,127108,Brooklyn (2015),Drama|Romance,2381111,167073.0,2015,46
29216,127110,Digging for Fire (2015),Drama,3704416,295490.0,2015,47
29217,127112,Don Verdean (2015),Comedy,3534282,309298.0,2015,48
29218,127114,The End of the Tour (2015),Drama,3416744,249688.0,2015,49
29219,127116,Experimenter (2015),Drama,3726704,309299.0,2015,50
29220,127118,I Am Michael (2015),Drama,3713030,291869.0,2015,51
29221,127120,Lila & Eve (2015),Drama|Thriller,3442990,309581.0,2015,52
29222,127122,Last Days in the Desert (2015),Adventure|Drama,3513054,310119.0,2015,53
29223,127124,I'll See You in My Dreams (2015),Comedy|Drama,3236120,310121.0,2015,54
29224,127126,Seoul Searching (2015),Comedy|Drama,2566644,310001.0,2015,55
29225,127128,Mississippi Grind (2015),Drama,2349144,309242.0,2015,56
29226,127130,Mistress America (2015),Comedy,2872462,309245.0,2015,57
29227,127132,Zipper (2015),Drama|Thriller,3346224,309503.0,2015,58
29228,127134,A Walk in the Woods (2015),Adventure|Comedy|Drama,1178665,232572.0,2015,59
29229,127136,True Story (2015),Drama|Mystery|Thriller,2273657,245706.0,2015,60
29230,127138,Ten Thousand Saints (2015),Comedy|Drama,3397754,253406.0,2015,61
29231,127140,Sleeping with Other People (2015),Comedy|Drama|Romance,3165612,288036.0,2015,62
29232,127142,Beaver Trilogy Part IV (2015),Documentary,4264834,315882.0,2015,63
29233,127144,Drunk Stoned Brilliant Dead: The Story of the National Lampoon (2015),Comedy|Documentary,1674785,319070.0,2015,64
29234,127146,Kurt Cobain: Montage of Heck (2015),Documentary,4229236,319075.0,2015,65
29235,127148,The Hunting Ground (2015),Documentary,4185572,319091.0,2015,66
29236,127150,Fresh Dressed (2015),Documentary,4209900,319071.0,2015,67
29237,127152,Going Clear: Scientology and the Prison of Belief (2015),Documentary,4257858,318224.0,2015,68
29238,127154,The Mask You Live In (2015),Documentary,3983674,224972.0,2015,69
29239,127156,Prophet's Prey (2015),Crime|Documentary,4188202,319079.0,2015,70
29240,127158,Tig (2015),Documentary,3986532,318225.0,2015,71
29241,127160,In Football We Trust (2015),Documentary,1780871,319074.0,2015,72
29242,127162,Most Likely to Succeed (2015),Documentary|Drama,4267108,319078.0,2015,73
29243,127164,"What Happened, Miss Simone? (2015)",Documentary,4284010,318044.0,2015,74
29255,127188,Advantageous (2015),Children|Drama|Sci-Fi,3090670,308457.0,2015,75
29257,127192,The Bronze (2015),Comedy|Drama,3859304,308453.0,2015,76
29258,127194,The D Train (2015),Comedy,3534602,308638.0,2015,77
29259,127196,The Diary of a Teenage Girl (2015),Drama,3172532,250124.0,2015,78
29260,127198,Dope (2015),Comedy|Drama,3850214,308639.0,2015,79
29261,127200,I Smile Back (2015),Drama,3640682,307946.0,2015,80
29262,127202,Me and Earl and the Dying Girl (2015),Drama,2582496,308369.0,2015,81
29263,127204,The Overnight (2015),Comedy,3844362,308024.0,2015,82
